Unnamed: 0,plant1_train_mea_ddhr,plant1_train_tem_in_loc1,plant1_train_hum_in_loc1,plant1_train_tem_coil_loc1,plant1_train_tem_in_loc2,plant1_train_hum_in_loc2,plant1_train_tem_coil_loc2,plant1_train_tem_in_loc3,plant1_train_hum_in_loc3,plant1_train_tem_coil_loc3,plant1_train_tem_out_loc1,plant1_train_hum_out_loc1,plant1_train_cond_loc1,plant1_train_cond_loc2,plant1_train_cond_loc3,year,moth,day,hour,min
14,2016-04-02 15:00,19.0,32.0,14.0,18.0,34.0,13.0,17.0,41.0,12.0,17.0,42.0,0.0,0.0,0.0,2016,4,2,15,0
15,2016-04-02 18:00,19.0,40.0,13.0,18.0,40.0,14.0,17.0,46.0,13.0,17.0,48.0,0.0,0.0,0.0,2016,4,2,18,0
16,2016-04-02 21:00,17.0,49.0,14.0,16.0,51.0,13.0,15.0,56.0,12.0,12.0,70.0,0.0,0.0,0.0,2016,4,2,21,0
17,2016-04-03 0:00,17.0,54.0,14.0,16.0,51.0,13.0,15.0,62.0,12.0,12.0,70.0,0.0,0.0,0.0,2016,4,3,0,0
18,2016-04-03 3:00,16.0,58.0,12.0,14.0,65.0,11.0,13.0,70.0,10.0,10.0,81.0,0.0,0.0,0.0,2016,4,3,3,0
19,2016-04-03 6:00,15.0,60.0,13.0,14.0,71.0,12.0,13.0,76.0,11.0,11.0,76.0,0.0,0.0,0.0,2016,4,3,6,0
20,2016-04-03 9:00,15.0,64.0,13.0,14.0,71.0,12.0,12.0,76.0,11.0,11.0,76.0,0.0,0.0,0.0,2016,4,3,9,0
21,2016-04-03 12:00,16.1,61.0,13.0,15.0,64.0,12.0,13.0,70.0,12.0,13.0,63.0,0.0,0.0,0.0,2016,4,3,12,0
22,2016-04-03 15:00,17.0,60.0,14.0,15.0,66.0,13.0,14.0,71.0,12.0,12.0,69.0,0.0,0.0,0.0,2016,4,3,15,0
23,2016-04-03 18:00,16.0,50.0,13.0,14.0,55.0,14.0,13.0,60.0,10.0,11.0,62.0,0.0,0.0,0.0,2016,4,3,18,0
24,2016-04-03 21:00,16.0,52.0,12.0,14.0,58.0,12.0,13.0,62.0,9.0,11.0,63.0,0.0,0.0,0.0,2016,4,3,21,0
25,2016-04-04 0:00,15.0,28.0,11.0,14.0,29.0,11.0,12.0,34.0,9.0,11.0,68.0,0.0,0.0,0.0,2016,4,4,0,0
26,2016-04-04 3:00,14.0,30.0,12.0,12.0,31.0,10.0,11.0,35.0,8.0,10.0,74.0,0.0,0.0,0.0,2016,4,4,3,0
27,2016-04-04 6:00,13.0,37.0,11.0,11.0,39.0,8.0,11.0,41.0,6.0,9.0,78.0,0.0,0.0,0.0,2016,4,4,6,0
28,2016-04-04 9:00,13.0,42.0,11.0,12.0,43.0,10.0,11.0,46.0,8.0,18.0,42.0,0.0,0.0,0.0,2016,4,4,9,0
29,2016-04-04 12:00,17.0,26.0,14.0,16.0,33.0,13.0,14.0,40.0,12.0,16.0,44.0,0.0,0.0,0.0,2016,4,4,12,0
30,2016-04-04 15:00,18.0,25.0,14.0,16.0,31.0,13.0,15.0,38.0,12.0,14.0,42.0,0.0,0.0,0.0,2016,4,4,15,0
31,2016-04-04 18:00,18.0,18.0,15.0,17.0,21.0,15.0,16.0,28.0,13.0,13.0,35.0,0.0,0.0,0.0,2016,4,4,18,0
32,2016-04-04 21:00,17.0,15.0,16.0,16.0,18.0,15.0,15.0,24.0,14.0,11.0,35.0,0.0,0.0,0.0,2016,4,4,21,0
33,2016-04-05 0:00,15.0,21.0,12.0,13.0,21.0,11.0,13.0,25.0,8.0,8.0,44.0,0.0,0.0,0.0,2016,4,5,0,0
34,2016-04-05 3:00,14.0,28.0,11.0,12.0,30.0,10.0,12.0,31.0,8.0,6.0,47.0,0.0,0.0,0.0,2016,4,5,3,0
35,2016-04-05 6:00,13.0,34.0,11.0,11.0,38.0,9.0,10.0,39.0,7.0,6.0,60.0,0.0,0.0,0.0,2016,4,5,6,0
36,2016-04-05 9:00,13.0,33.0,12.0,11.0,38.0,10.0,11.0,42.0,10.0,19.0,27.0,0.0,0.0,0.0,2016,4,5,9,0
37,2016-04-05 12:00,17.0,30.0,14.0,16.0,30.0,13.0,15.0,35.0,13.0,14.0,42.0,0.0,0.0,0.0,2016,4,5,12,0
38,2016-04-05 15:00,18.0,30.0,15.0,17.0,30.0,14.0,16.0,34.0,13.0,14.0,44.0,0.0,0.0,0.0,2016,4,5,15,0
39,2016-04-05 18:00,19.0,29.0,15.0,18.0,31.0,14.0,17.0,36.0,14.0,16.0,25.0,0.0,0.0,0.0,2016,4,5,18,0
40,2016-04-05 21:00,18.0,37.0,15.0,17.0,41.0,14.0,16.0,48.0,13.0,13.0,28.0,0.0,0.0,0.0,2016,4,5,21,0
41,2016-04-06 0:00,17.0,53.0,13.0,15.0,62.0,13.0,15.0,62.0,11.0,9.0,32.0,0.0,0.0,0.0,2016,4,6,0,0
42,2016-04-06 3:00,16.0,62.0,14.0,14.0,75.0,12.0,13.0,74.0,12.0,8.0,40.0,0.0,0.0,0.0,2016,4,6,3,0
43,2016-04-06 6:00,16.0,66.0,13.0,13.0,78.0,11.0,13.0,79.0,11.0,6.0,51.0,0.0,0.0,0.0,2016,4,6,6,0
44,2016-04-06 9:00,16.0,70.0,13.0,13.0,81.0,11.0,13.0,84.0,11.0,11.0,45.0,0.0,0.0,1.0,2016,4,6,9,0
45,2016-04-06 12:00,17.0,60.0,14.0,14.0,56.0,13.0,13.0,60.0,12.0,19.0,28.0,0.0,0.0,0.0,2016,4,6,12,0
46,2016-04-06 15:00,19.0,50.0,16.0,15.0,46.0,15.0,14.0,50.0,14.0,20.0,26.0,0.0,0.0,0.0,2016,4,6,15,0
47,2016-04-06 18:00,19.0,49.0,16.0,18.0,46.0,15.0,17.0,52.0,15.0,19.0,33.0,0.0,0.0,0.0,2016,4,6,18,0
48,2016-04-06 21:00,17.0,54.0,14.0,17.0,54.0,14.0,15.0,58.0,14.0,14.0,62.0,0.0,0.0,0.0,2016,4,6,21,0
49,2016-04-07 0:00,16.0,63.0,14.0,15.0,65.0,13.0,14.0,70.0,13.0,12.0,74.0,0.0,0.0,0.0,2016,4,7,0,0
50,2016-04-07 3:00,15.0,64.0,14.0,14.0,67.0,12.0,13.0,70.0,12.0,11.0,80.0,0.0,0.0,0.0,2016,4,7,3,0
51,2016-04-07 6:00,15.0,62.0,13.0,13.0,68.0,10.0,12.0,70.0,11.0,11.0,83.0,0.0,0.0,0.0,2016,4,7,6,0
52,2016-04-07 9:00,14.0,60.0,13.0,12.0,68.0,9.0,11.0,72.0,8.0,11.0,80.0,0.0,0.0,0.0,2016,4,7,9,0
53,2016-04-07 12:00,16.0,58.0,14.0,14.0,62.0,12.0,13.0,65.0,9.0,13.0,55.0,0.0,0.0,0.0,2016,4,7,12,0
54,2016-04-07 15:00,18.0,52.0,15.0,17.0,54.0,15.0,16.0,64.0,13.0,16.0,40.0,0.0,0.0,0.0,2016,4,7,15,0
55,2016-04-07 18:00,17.0,57.0,15.0,17.0,56.0,14.0,15.0,68.0,14.0,16.0,53.0,0.0,0.0,0.0,2016,4,7,18,0
56,2016-04-07 21:00,15.0,59.0,14.0,17.0,62.0,14.0,13.0,60.0,12.0,12.0,69.0,0.0,0.0,0.0,2016,4,7,21,0
57,2016-04-08 0:00,15.0,62.0,14.0,13.0,68.0,11.0,12.0,74.0,9.0,11.0,79.0,0.0,0.0,0.0,2016,4,8,0,0
58,2016-04-08 3:00,14.0,62.0,12.0,12.0,70.0,11.0,11.0,74.0,9.0,9.0,81.0,0.0,0.0,0.0,2016,4,8,3,0
59,2016-04-08 6:00,14.0,65.0,10.0,12.0,74.0,9.0,11.0,79.0,9.0,9.0,79.0,0.0,0.0,0.0,2016,4,8,6,0
60,2016-04-08 9:00,14.0,70.0,12.0,13.0,80.0,10.0,12.0,82.0,9.0,9.0,75.0,0.0,1.0,1.0,2016,4,8,9,0
61,2016-04-08 12:00,15.0,72.0,13.0,14.0,77.0,11.0,13.0,80.0,10.0,12.0,63.0,0.0,0.0,1.0,2016,4,8,12,0
62,2016-04-08 15:00,16.0,75.0,14.0,15.0,75.0,13.0,14.0,80.0,12.0,16.0,53.0,0.0,0.0,0.0,2016,4,8,15,0
63,2016-04-08 18:00,17.0,69.0,15.0,16.0,68.0,14.0,15.0,70.0,13.0,14.0,61.0,0.0,0.0,0.0,2016,4,8,18,0
64,2016-04-08 21:00,17.0,60.0,14.0,15.0,63.0,14.0,14.0,67.0,11.0,9.0,81.0,0.0,0.0,0.0,2016,4,8,21,0
65,2016-04-09 0:00,16.0,60.0,14.0,14.0,66.0,12.0,13.0,70.0,10.0,9.0,82.0,0.0,0.0,0.0,2016,4,9,0,0
66,2016-04-09 3:00,16.0,65.0,12.0,14.0,72.0,11.0,13.0,77.0,10.0,9.0,80.0,0.0,0.0,1.0,2016,4,9,3,0
67,2016-04-09 6:00,16.0,66.0,13.0,14.0,74.0,11.0,13.0,78.0,10.0,9.0,85.0,0.0,0.0,1.0,2016,4,9,6,0
68,2016-04-09 9:00,15.0,70.0,12.0,13.0,79.0,9.0,13.0,82.0,9.0,11.0,75.0,0.0,1.0,1.0,2016,4,9,9,0
69,2016-04-09 12:00,16.0,68.0,14.0,14.0,73.0,11.0,14.0,77.0,11.0,12.0,72.0,0.0,0.0,0.0,2016,4,9,12,0
70,2016-04-09 15:00,19.0,65.0,15.0,17.0,69.0,15.0,16.0,75.0,13.0,15.0,64.0,0.0,0.0,0.0,2016,4,9,15,0
71,2016-04-09 18:00,18.0,60.0,15.0,17.0,60.0,14.0,15.0,66.0,12.0,13.0,70.0,0.0,0.0,0.0,2016,4,9,18,0
72,2016-04-09 21:00,16.0,61.0,13.0,14.0,64.0,12.0,14.0,67.0,11.0,11.0,70.0,0.0,0.0,0.0,2016,4,9,21,0
73,2016-04-10 0:00,16.0,46.0,12.0,14.0,52.0,11.0,13.0,54.0,9.0,10.0,79.0,0.0,0.0,0.0,2016,4,10,0,0
74,2016-04-10 3:00,16.0,48.0,11.0,13.0,54.0,10.0,13.0,56.0,9.0,10.0,84.0,0.0,0.0,0.0,2016,4,10,3,0
75,2016-04-10 6:00,15.0,56.0,9.0,13.0,60.0,9.0,12.0,62.0,9.0,11.0,81.0,0.0,0.0,0.0,2016,4,10,6,0
76,2016-04-10 9:00,15.0,45.0,13.0,13.0,49.0,10.0,12.0,55.0,8.0,10.0,82.0,0.0,0.0,0.0,2016,4,10,9,0
77,2016-04-10 12:00,17.0,41.0,14.0,16.0,43.0,11.0,14.0,52.0,11.0,12.0,74.0,0.0,0.0,0.0,2016,4,10,12,0
78,2016-04-10 15:00,19.0,38.0,15.0,18.0,40.0,14.0,16.0,48.0,13.0,15.0,65.0,0.0,0.0,0.0,2016,4,10,15,0
79,2016-04-10 18:00,19.0,38.0,16.0,18.0,37.0,15.0,17.0,43.0,13.0,12.0,74.0,0.0,0.0,0.0,2016,4,10,18,0
80,2016-04-10 21:00,18.0,42.0,15.0,17.0,42.0,14.0,15.0,47.0,13.0,10.0,77.0,0.0,0.0,0.0,2016,4,10,21,0
81,2016-04-11 0:00,16.0,46.0,10.0,14.0,50.0,9.0,13.0,54.0,8.0,12.0,46.0,0.0,0.0,0.0,2016,4,11,0,0
82,2016-04-11 3:00,15.0,48.0,9.0,13.0,52.0,9.0,13.0,54.0,7.0,10.0,70.0,0.0,0.0,0.0,2016,4,11,3,0
83,2016-04-11 6:00,15.0,50.0,10.0,13.0,53.0,10.0,12.0,54.0,8.0,9.0,64.0,0.0,0.0,0.0,2016,4,11,6,0
84,2016-04-11 9:00,15.0,49.0,13.0,13.0,52.0,12.0,12.0,55.0,10.0,14.0,38.0,0.0,0.0,0.0,2016,4,11,9,0
85,2016-04-11 12:00,16.0,46.0,14.0,15.0,45.0,14.0,15.0,49.0,13.0,15.0,42.0,0.0,0.0,0.0,2016,4,11,12,0
86,2016-04-11 15:00,18.0,41.0,16.0,18.0,40.0,15.0,17.0,43.0,13.0,15.0,50.0,0.0,0.0,0.0,2016,4,11,15,0
87,2016-04-11 18:00,19.0,41.0,16.0,19.0,40.0,16.0,17.0,43.0,14.0,15.0,44.0,0.0,0.0,0.0,2016,4,11,18,0
88,2016-04-11 21:00,18.0,40.0,15.0,17.0,36.0,14.0,16.0,40.0,13.0,12.0,51.0,0.0,0.0,0.0,2016,4,11,21,0
89,2016-04-12 0:00,17.0,44.0,13.0,15.0,45.0,12.0,15.0,48.0,12.0,10.0,67.0,0.0,0.0,0.0,2016,4,12,0,0
90,2016-04-12 3:00,17.0,50.0,14.0,15.0,54.0,13.0,14.0,56.0,12.0,10.0,60.0,0.0,0.0,0.0,2016,4,12,3,0
91,2016-04-12 6:00,17.0,66.0,13.0,15.0,74.0,13.0,14.0,75.0,12.0,9.0,63.0,0.0,0.0,0.0,2016,4,12,6,0
92,2016-04-12 9:00,16.0,73.0,13.0,15.0,82.0,13.0,14.0,82.0,11.0,15.0,47.0,0.0,0.0,1.0,2016,4,12,9,0
93,2016-04-12 12:00,18.0,78.0,14.0,16.0,84.0,14.0,15.0,87.0,13.0,16.0,42.0,1.0,1.0,1.0,2016,4,12,12,0
94,2016-04-12 15:00,19.0,73.0,16.0,18.0,72.0,16.0,17.0,74.0,14.0,18.0,40.0,0.0,0.0,0.0,2016,4,12,15,0
95,2016-04-12 18:00,19.0,67.0,16.0,19.0,65.0,16.0,17.0,68.0,16.0,17.0,44.0,0.0,0.0,0.0,2016,4,12,18,0
96,2016-04-12 21:00,19.0,60.0,16.0,17.0,63.0,15.0,16.0,64.0,14.0,14.0,43.0,0.0,0.0,0.0,2016,4,12,21,0
97,2016-04-13 0:00,17.0,62.0,14.0,14.0,69.0,12.0,14.0,70.0,11.0,13.0,55.0,0.0,0.0,0.0,2016,4,13,0,0
98,2016-04-13 3:00,16.0,60.0,13.0,13.0,68.0,11.0,13.0,71.0,10.0,13.0,64.0,0.0,0.0,0.0,2016,4,13,3,0
99,2016-04-13 6:00,16.0,60.0,14.0,13.0,68.0,11.0,12.0,72.0,10.0,12.0,81.0,0.0,0.0,0.0,2016,4,13,6,0
100,2016-04-13 9:00,16.0,65.0,14.0,14.0,73.0,12.0,13.0,76.0,10.0,13.0,83.0,0.0,0.0,0.0,2016,4,13,9,0
101,2016-04-13 12:00,16.0,62.0,15.0,14.0,66.0,14.0,13.0,71.0,10.0,17.0,70.0,0.0,0.0,0.0,2016,4,13,12,0
102,2016-04-13 15:00,16.0,60.0,14.0,15.0,62.0,14.0,13.0,68.0,12.0,17.0,69.0,0.0,0.0,0.0,2016,4,13,15,0
103,2016-04-13 18:00,17.0,57.0,15.0,16.0,60.0,14.0,14.0,66.0,13.0,18.0,60.0,0.0,0.0,0.0,2016,4,13,18,0
104,2016-04-13 21:00,16.0,59.0,13.0,14.0,66.0,12.0,13.0,69.0,12.0,13.0,79.0,0.0,0.0,0.0,2016,4,13,21,0
105,2016-04-14 0:00,15.0,58.0,13.0,12.0,65.0,10.0,11.0,70.0,8.0,10.0,85.0,0.0,0.0,0.0,2016,4,14,0,0
106,2016-04-14 3:00,15.0,60.0,11.0,11.0,68.0,9.0,10.0,70.0,7.0,9.0,81.0,0.0,0.0,0.0,2016,4,14,3,0
107,2016-04-14 6:00,14.0,62.0,10.0,10.0,72.0,8.0,10.0,72.0,6.0,9.0,82.0,0.0,0.0,1.0,2016,4,14,6,0
108,2016-04-14 9:00,14.0,62.0,10.0,12.0,72.0,10.0,11.0,79.0,8.0,10.0,80.0,0.0,0.0,1.0,2016,4,14,9,0
109,2016-04-14 12:00,17.0,55.0,14.0,16.0,58.0,14.0,15.0,59.0,11.0,11.0,69.0,0.0,0.0,0.0,2016,4,14,12,0
110,2016-04-14 15:00,20.0,40.0,17.0,19.0,37.0,16.0,19.0,36.0,16.0,11.0,68.0,0.0,0.0,0.0,2016,4,14,15,0
111,2016-04-14 18:00,20.0,40.0,15.0,19.0,39.0,14.0,16.0,49.0,12.0,10.0,77.0,0.0,0.0,0.0,2016,4,14,18,0
112,2016-04-14 21:00,19.0,41.0,13.0,17.0,44.0,12.0,15.0,48.0,11.0,9.0,82.0,0.0,0.0,0.0,2016,4,14,21,0
113,2016-04-15 0:00,16.0,50.0,12.0,15.0,53.0,10.0,14.0,58.0,9.0,7.0,84.0,0.0,0.0,0.0,2016,4,15,0,0
114,2016-04-15 3:00,14.0,52.0,11.3,14.0,54.0,9.0,12.0,61.0,8.0,7.0,81.0,0.0,0.0,0.0,2016,4,15,3,0
115,2016-04-15 6:00,15.0,53.0,9.2,13.0,58.0,9.0,12.0,62.0,7.0,7.0,82.0,0.0,0.0,0.0,2016,4,15,6,0
116,2016-04-15 9:00,16.0,55.0,14.0,14.0,59.0,12.0,13.0,63.0,11.0,9.0,83.0,0.0,0.0,0.0,2016,4,15,9,0
117,2016-04-15 12:00,18.0,49.0,15.0,17.0,49.0,15.0,17.0,51.0,15.0,18.0,38.0,0.0,0.0,0.0,2016,4,15,12,0
118,2016-04-15 15:00,19.0,54.0,16.0,18.0,54.0,15.0,18.0,55.0,16.0,21.0,26.0,0.0,0.0,0.0,2016,4,15,15,0
119,2016-04-15 18:00,19.0,58.0,15.0,19.0,58.0,14.0,18.0,62.0,14.0,13.0,62.0,0.0,0.0,0.0,2016,4,15,18,0
120,2016-04-15 21:00,18.0,64.0,14.0,17.0,68.0,14.0,16.0,69.0,13.0,13.0,66.0,0.0,0.0,0.0,2016,4,15,21,0
121,2016-04-16 0:00,17.0,80.0,14.0,16.0,85.0,13.0,15.0,87.0,12.0,11.0,68.0,1.0,1.0,1.0,2016,4,16,0,0
122,2016-04-16 3:00,15.0,72.0,13.0,15.0,76.0,12.0,15.0,74.0,11.0,11.0,68.0,0.0,0.0,1.0,2016,4,16,3,0
123,2016-04-16 6:00,14.0,68.0,13.0,14.0,66.0,12.0,14.0,66.0,11.0,10.0,68.0,0.0,0.0,0.0,2016,4,16,6,0
124,2016-04-16 9:00,14.0,66.0,13.0,15.0,59.0,13.0,14.0,62.0,13.0,15.0,53.0,0.0,0.0,0.0,2016,4,16,9,0
125,2016-04-16 12:00,16.0,56.0,15.0,17.0,49.0,14.0,16.0,54.0,14.0,19.0,40.0,0.0,0.0,0.0,2016,4,16,12,0
126,2016-04-16 15:00,18.0,46.0,16.0,18.0,39.0,16.0,17.0,45.0,16.0,20.0,49.0,0.0,0.0,0.0,2016,4,16,15,0
127,2016-04-16 18:00,18.4,35.0,15.0,19.0,29.0,15.0,17.0,30.0,14.0,19.0,56.0,0.0,0.0,0.0,2016,4,16,18,0
128,2016-04-16 21:00,17.0,30.0,14.0,17.0,24.0,13.0,16.0,28.0,12.0,14.0,78.0,0.0,0.0,0.0,2016,4,16,21,0
129,2016-04-17 0:00,15.0,38.0,13.0,14.0,35.0,12.0,13.0,36.0,11.0,15.0,80.0,0.0,0.0,0.0,2016,4,17,0,0
130,2016-04-17 3:00,15.0,42.0,11.0,13.0,41.0,10.0,12.0,42.0,8.0,12.0,80.0,0.0,0.0,0.0,2016,4,17,3,0
131,2016-04-17 6:00,14.0,48.0,10.0,12.0,48.0,9.0,12.0,47.0,7.0,11.0,80.0,0.0,0.0,0.0,2016,4,17,6,0
132,2016-04-17 9:00,14.0,49.0,13.0,13.0,48.0,12.0,13.0,50.0,11.0,14.0,55.0,0.0,0.0,0.0,2016,4,17,9,0
133,2016-04-17 12:00,17.0,37.0,16.0,17.0,34.0,16.0,16.0,37.0,15.0,16.0,46.0,0.0,0.0,0.0,2016,4,17,12,0
134,2016-04-17 15:00,19.0,40.0,17.0,19.0,35.0,16.0,18.0,42.0,16.0,16.0,42.0,0.0,0.0,0.0,2016,4,17,15,0
135,2016-04-17 18:00,18.6,48.0,16.0,19.0,44.0,16.0,18.0,48.0,14.0,16.0,32.0,0.0,0.0,0.0,2016,4,17,18,0
136,2016-04-17 21:00,17.0,60.0,14.0,17.0,54.0,14.0,16.0,58.0,13.0,12.0,38.0,0.0,0.0,0.0,2016,4,17,21,0
137,2016-04-18 0:00,15.0,56.0,13.0,14.3,55.0,13.0,14.0,58.0,10.0,10.0,48.0,0.0,0.0,0.0,2016,4,18,0,0
138,2016-04-18 3:00,13.0,58.0,12.0,13.0,57.0,12.0,13.0,59.0,9.0,9.0,52.0,0.0,0.0,0.0,2016,4,18,3,0
139,2016-04-18 6:00,13.0,61.0,11.0,13.0,60.0,11.0,12.0,62.0,9.0,8.0,64.0,0.0,0.0,0.0,2016,4,18,6,0
140,2016-04-18 9:00,14.0,59.0,14.0,13.0,60.0,12.0,12.0,64.0,11.0,15.0,45.0,0.0,0.0,0.0,2016,4,18,9,0
141,2016-04-18 12:00,17.0,49.0,16.0,15.0,50.0,15.0,14.0,57.0,14.0,19.0,27.0,0.0,0.0,0.0,2016,4,18,12,0
142,2016-04-18 15:00,19.0,40.0,17.0,17.0,42.0,16.0,16.0,50.0,15.0,19.0,41.0,0.0,0.0,0.0,2016,4,18,15,0
143,2016-04-18 18:00,17.0,45.0,17.0,17.0,45.0,16.0,15.0,52.0,13.0,16.0,54.0,0.0,0.0,0.0,2016,4,18,18,0
144,2016-04-18 21:00,17.0,48.0,14.0,15.0,52.0,14.0,14.0,55.0,12.0,13.0,74.0,0.0,0.0,0.0,2016,4,18,21,0
145,2016-04-19 0:00,17.0,52.0,14.0,14.0,59.0,13.0,13.0,63.0,11.0,9.0,73.0,0.0,0.0,0.0,2016,4,19,0,0
146,2016-04-19 3:00,16.0,57.0,13.0,14.0,60.0,13.0,13.0,62.0,10.0,9.0,73.0,0.0,0.0,0.0,2016,4,19,3,0
147,2016-04-19 6:00,15.0,60.0,12.0,13.0,65.0,12.0,12.0,68.0,9.0,9.0,76.0,0.0,0.0,0.0,2016,4,19,6,0
148,2016-04-19 9:00,15.0,62.0,13.0,14.0,66.0,13.0,13.0,70.0,11.0,10.0,69.0,0.0,0.0,0.0,2016,4,19,9,0
149,2016-04-19 12:00,17.0,47.0,15.0,17.0,46.0,15.0,16.0,51.0,15.0,13.0,54.0,0.0,0.0,0.0,2016,4,19,12,0
150,2016-04-19 15:00,18.0,48.0,16.0,18.0,46.0,15.0,17.0,51.0,15.0,15.0,46.0,0.0,0.0,0.0,2016,4,19,15,0
151,2016-04-19 18:00,17.0,58.0,15.0,17.0,58.0,16.0,16.0,58.0,14.0,11.0,64.0,0.0,0.0,0.0,2016,4,19,18,0
152,2016-04-19 21:00,17.0,64.0,15.0,16.0,64.0,14.0,15.0,66.0,14.0,10.0,70.0,0.0,0.0,0.0,2016,4,19,21,0
153,2016-04-20 0:00,17.0,63.0,14.0,15.0,67.0,14.0,14.0,69.0,13.0,11.0,68.0,0.0,0.0,0.0,2016,4,20,0,0
154,2016-04-20 3:00,16.0,66.0,13.0,15.0,72.0,14.0,14.0,76.0,13.0,11.0,70.0,0.0,0.0,0.0,2016,4,20,3,0
155,2016-04-20 6:00,16.0,68.0,14.0,14.0,77.0,14.0,14.0,78.0,13.0,10.0,80.0,0.0,0.0,0.0,2016,4,20,6,0
156,2016-04-20 9:00,16.0,70.0,15.0,14.0,77.0,14.0,13.0,80.0,13.0,12.0,70.0,0.0,0.0,0.0,2016,4,20,9,0
157,2016-04-20 12:00,17.0,75.0,14.0,15.0,82.0,14.0,14.0,84.0,14.0,18.0,39.0,0.0,0.0,0.0,2016,4,20,12,0
158,2016-04-20 15:00,18.0,74.0,17.0,17.0,74.0,15.0,16.0,80.0,14.0,19.0,48.0,0.0,0.0,0.0,2016,4,20,15,0
159,2016-04-20 18:00,19.0,70.0,17.0,19.0,68.0,15.0,17.0,74.0,15.0,15.0,56.0,0.0,0.0,0.0,2016,4,20,18,0
160,2016-04-20 21:00,18.0,67.0,17.0,18.0,64.0,15.0,16.0,68.0,14.0,13.0,72.0,0.0,0.0,0.0,2016,4,20,21,0
161,2016-04-21 0:00,17.0,70.0,16.0,16.0,73.0,15.0,15.0,77.0,14.0,12.0,76.0,0.0,0.0,0.0,2016,4,21,0,0
162,2016-04-21 3:00,17.0,74.0,16.0,16.0,73.0,15.0,15.0,79.0,14.0,12.0,81.0,0.0,0.0,0.0,2016,4,21,3,0
163,2016-04-21 6:00,17.0,71.0,16.0,16.0,71.0,15.0,15.0,75.0,14.0,12.0,81.0,0.0,0.0,0.0,2016,4,21,6,0
164,2016-04-21 9:00,18.0,68.0,16.0,18.0,69.0,16.0,17.0,70.0,15.0,12.0,84.0,0.0,0.0,0.0,2016,4,21,9,0
165,2016-04-21 12:00,20.0,64.0,18.0,20.0,60.0,16.0,19.0,62.0,16.0,13.0,80.0,0.0,0.0,0.0,2016,4,21,12,0
166,2016-04-21 15:00,21.0,62.0,19.0,21.0,58.0,17.0,20.0,60.0,17.0,16.0,70.0,0.0,0.0,0.0,2016,4,21,15,0
167,2016-04-21 18:00,18.0,66.0,16.0,17.0,64.0,15.0,16.0,68.0,15.0,17.0,67.0,0.0,0.0,0.0,2016,4,21,18,0
168,2016-04-21 21:00,18.0,64.0,16.0,16.0,66.0,15.0,15.0,68.0,15.0,14.0,76.0,0.0,0.0,0.0,2016,4,21,21,0
